Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,154.216064,156.128113,142.944550,146.567871,108.702431,122813059
2015-02-01,147.227539,157.734222,144.847031,154.818359,114.821449,81229117
2015-03-01,154.818359,158.078400,146.653915,153.441681,114.598679,109737428
2015-04-01,153.183563,167.428299,151.424469,163.757172,122.302895,98152560
2015-05-01,165.583176,168.546844,161.414917,162.189301,121.131912,60593422
2015-06-01,162.724670,164.015289,154.990433,155.506699,117.019920,84566694
2015-07-01,156.759079,166.137665,151.529633,154.866150,116.537895,98171910
2015-08-01,154.588913,154.732315,134.435944,141.386230,106.394150,98039489
2015-09-01,138.537292,143.097519,134.942642,138.594650,105.159264,85576713
2015-10-01,138.919693,146.414917,131.290634,133.919693,101.612129,126017790
2015-11-01,134.321228,136.520081,125.860420,133.288712,101.133339,89367101
2015-12-01,133.441681,135.181641,128.021027,131.567871,100.764046,102174117
2016-01-01,129.636703,130.869980,112.810707,119.302101,91.370064,132039823
2016-02-01,118.929253,128.986618,111.759079,125.267685,95.938934,111624727
2016-03-01,126.424477,146.367111,126.223709,144.789673,112.022934,110611048
2016-04-01,143.891006,146.768646,136.338425,139.521988,107.947365,98828695
2016-05-01,140.114716,147.045883,136.615677,146.978973,113.716766,78710456
2016-06-01,146.271515,148.642441,136.233276,145.105164,113.350456,80514490
2016-07-01,145.105164,156.405350,143.326965,153.556412,119.952232,72618550
2016-08-01,153.585083,157.695984,150.908218,151.892929,118.652817,72912999
2016-09-01,151.357559,157.743790,146.472275,151.864243,119.654984,73154103
2016-10-01,151.108994,151.558319,141.290634,146.931168,115.768158,81930251
2016-11-01,146.749527,157.418732,144.359467,155.086044,122.193466,79850384
2016-12-01,154.827911,162.476105,151.338425,158.690247,126.167534,72666039
2017-01-01,159.655838,171.367111,158.068832,166.845123,132.651077,92847665
2017-02-01,167.304016,174.751434,165.286804,171.912048,136.679565,62572348
2017-03-01,172.543015,174.521988,164.521988,166.481842,133.408829,83132942
2017-04-01,166.175903,168.575531,152.581268,153.240921,122.798386,104654705
2017-05-01,153.011475,153.365204,143.202682,145.917786,116.930008,108082238
2017-06-01,146.080307,150.286804,144.168259,147.065002,119.000580,87839942
2017-07-01,146.826004,149.168259,137.323135,138.307846,111.914558,97585001
2017-08-01,138.623322,139.263855,133.011475,136.739960,110.645889,83937837
2017-09-01,136.692154,140.936905,135.411087,138.699814,113.417503,81898348
2017-10-01,138.957932,155.363297,138.824097,147.284897,120.437706,131111497
2017-11-01,147.323135,148.087952,139.780121,147.198853,120.367340,93905278
2017-12-01,147.609940,150.908218,144.827911,146.673035,121.136185,92872353
2018-01-01,147.705551,163.604202,146.787766,156.500961,129.253021,151760375
2018-02-01,156.013382,156.912048,138.049713,148.977051,123.039032,107073687
2018-03-01,148.690247,154.980881,142.007645,146.682602,122.336838,98655478
2018-04-01,146.596558,154.875717,137.772461,138.585083,115.583305,128391583
2018-05-01,138.288712,139.770554,133.747604,135.095596,112.672997,92898293
2018-06-01,136.166351,141.032501,131.405350,133.556412,112.625793,93932265
2018-07-01,132.198853,143.919693,132.122375,138.556412,116.842194,99321884
2018-08-01,138.393875,141.424469,135.755264,140.038239,118.091797,82838075
2018-09-01,139.560226,146.606125,138.441681,144.560226,123.222160,100277823
